interview__key,num_prod,productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
02-07-61-84,1,"carnes de pollo, res y puerco",2,2,,50,1,,5000,son mermas que la gente quiere que le retiremos de la misma carne como el cuero,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
10-05-05-59,1,Galleta,2,1,,100,6,Gramos,18,galleta rota,100,6,gramos,9,,#NULL!,#NULL!,
10-05-05-59,2,Crema para batir,5,3,,200,6,mililitros,25,Sobrante de decoración,200,6,mililitros,7,,#NULL!,#NULL!,
10-05-05-59,3,mantequilla,2,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
10-05-05-59,4,Chocolate,2,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-38-14-72,1,Plátano,200,1,,10,1,,70,Maduración de la fruta,8,1,,9,,#NULL!,#NULL!,
59-38-14-72,2,Manzana,100,1,,2,1,,30,maduración de la fruta,2,1,,9,,#NULL!,#NULL!,
59-38-14-72,3,Jamaica,25,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-38-14-72,4,limon,50,1,,2,1,,35,maduración de la fruta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-98-88-68,1,frijol,500,1,,8,1,,120,Tamaño pequeño del grano,8,1,,9,,#NULL!,#NULL!,
45-98-88-68,2,huevo,80,1,,4,1,,120,producto en mal estado/roto,4,1,,10,,#NULL!,#NULL!,
45-98-88-68,3,almendra,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-98-88-68,4,nuez,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
